condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
150k_1mm,44,asr_q75,u_explosive_concrete,0.6774747271426015,0.3804145814758074,648,1656,2304,150k_1mm/seed_44/asr_q75/u_explosive_concrete.npz
150k_1mm,44,asr_q75,u_void_soil,0.8646094262539512,1.1323963726301947,648,1656,2304,150k_1mm/seed_44/asr_q75/u_void_soil.npz
150k_1mm,44,asr_q75,u_void_concrete,0.8934327328335385,1.135053255946947,648,1655,2303,150k_1mm/seed_44/asr_q75/u_void_concrete.npz
150k_1mm,44,mlsd_median,u_pb_soil,0.9986804437287529,5.448110113982864,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_pb_soil.npz
150k_1mm,44,mlsd_median,u_pb_concrete,0.9971195279417904,5.2055694380289,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_pb_concrete.npz
150k_1mm,44,mlsd_median,u_explosive_soil,0.6938918336613586,0.510097663946299,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_explosive_soil.npz
150k_1mm,44,mlsd_median,u_explosive_concrete,0.7476320674539274,0.6749580732528961,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_explosive_concrete.npz
150k_1mm,44,mlsd_median,u_void_soil,0.8676949141170156,0.9807114149542042,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_void_soil.npz
150k_1mm,44,mlsd_median,u_void_concrete,0.8932221774915011,0.9989154236357082,648,1656,2304,150k_1mm/seed_44/mlsd_median/u_void_concrete.npz
150k_1mm,44,namt_3p,u_pb_soil,0.9999981041647709,12.158771305487804,648,1628,2276,150k_1mm/seed_44/namt_3p/u_pb_soil.npz
150k_1mm,44,namt_3p,u_pb_concrete,0.9999943472165694,15.304902257790536,648,1638,2286,150k_1mm/seed_44/namt_3p/u_pb_concrete.npz
150k_1mm,44,namt_3p,u_explosive_soil,0.9225210058543392,1.9627919512445098,648,1628,2276,150k_1mm/seed_44/namt_3p/u_explosive_soil.npz
150k_1mm,44,namt_3p,u_explosive_concrete,0.96110940799782,2.812228056906973,648,1631,2279,150k_1mm/seed_44/namt_3p/u_explosive_concrete.npz
150k_1mm,44,namt_3p,u_void_soil,0.966220535282014,2.4835511209061987,648,1632,2280,150k_1mm/seed_44/namt_3p/u_void_soil.npz
150k_1mm,44,namt_3p,u_void_concrete,0.9692947597096381,3.3023725043062933,648,1631,2279,150k_1mm/seed_44/namt_3p/u_void_concrete.npz
150k_1mm,44,namt_4p,u_pb_soil,0.9999962083295416,14.792149702230505,648,1628,2276,150k_1mm/seed_44/namt_4p/u_pb_soil.npz
150k_1mm,44,namt_4p,u_pb_concrete,1.0,16.72999589439216,648,1638,2286,150k_1mm/seed_44/namt_4p/u_pb_concrete.npz
