condition,method,scene,n,auc_mean,auc_std,cnr_mean,cnr_std
150k_3mm,asr_q75,u_explosive_soil,5,0.48220279695349555,0.028153417406078286,-0.049567969989471564,0.05046437170699478
150k_3mm,asr_q75,u_pb_concrete,5,0.979107768809183,0.0024131942796957037,2.543370678617905,0.06829163996108684
150k_3mm,asr_q75,u_pb_soil,5,0.9867284281869816,0.0016487916086668358,2.8115746651006295,0.11790836600493128
150k_3mm,asr_q75,u_void_concrete,5,0.5988501576204177,0.019900232035061683,0.2179892348997671,0.06363041019740012
150k_3mm,asr_q75,u_void_soil,5,0.5990870321651742,0.048526512280059705,0.2316675898804939,0.11561342886290543
150k_3mm,mlsd_median,u_explosive_concrete,5,0.5340149004653616,0.025473330997018918,0.10384625134334065,0.049406479634982944
150k_3mm,mlsd_median,u_explosive_soil,5,0.4936597513782738,0.005510278893392171,-0.008161935824921009,0.0386333308068179
150k_3mm,mlsd_median,u_pb_concrete,5,0.9858658376573031,0.0017181956389995506,2.7794772902146874,0.08092212780929849
150k_3mm,mlsd_median,u_pb_soil,5,0.9875372756008828,0.0024116620244827138,2.9031138658436153,0.13669247501454743
150k_3mm,mlsd_median,u_void_concrete,5,0.6383742992187034,0.025245723496152433,0.31704125225689384,0.06140939600664963
150k_3mm,mlsd_median,u_void_soil,5,0.6028112325732625,0.02283806624387479,0.22779692037056387,0.060692011692775195
150k_3mm,namt_3p,u_explosive_concrete,5,0.8782345263097083,0.02509150846373075,1.5535902726859177,0.1782553880432534
150k_3mm,namt_3p,u_explosive_soil,5,0.8491923470118967,0.021865977901338873,1.3562932171974,0.13025536625843429
150k_3mm,namt_3p,u_pb_concrete,5,0.9994415213655596,0.00025180465923048477,6.590900035066889,0.39842557446171234
150k_3mm,namt_3p,u_pb_soil,5,0.9997216560848802,0.00011184898941126803,6.58524254491522,0.5201149531966041
150k_3mm,namt_3p,u_void_concrete,5,0.8876983053446263,0.03017523015031161,1.5559810682395514,0.15327280391998022
150k_3mm,namt_3p,u_void_soil,5,0.8869651409055237,0.02042746856026844,1.5913436997612649,0.12313272662428472
150k_3mm,namt_4p,u_explosive_concrete,5,0.8875101544852407,0.01863016075337373,1.649263803898576,0.1665879284903359
150k_3mm,namt_4p,u_explosive_soil,5,0.8248893717326926,0.04041370964735753,1.2477688965738674,0.19508580242658038
150k_3mm,namt_4p,u_pb_concrete,5,0.9996496694901941,0.00011402257999652028,6.800258464131221,0.4224328047251685
150k_3mm,namt_4p,u_pb_soil,5,0.9998318346659305,8.772982365667269e-05,6.8842613039808445,0.366422071710676
150k_3mm,namt_4p,u_void_concrete,5,0.91799174009662,0.018294809470438142,1.9087030587645064,0.12944279921971616
150k_3mm,namt_4p,u_void_soil,5,0.9110820915090263,0.020868379082035562,1.8383040135990985,0.23655238971301643
150k_3mm,poca,u_explosive_concrete,5,0.582218972488039,0.007544388552859827,0.2561085178253161,0.04793675312441033
150k_3mm,poca,u_explosive_soil,5,0.5389136719831809,0.011143489560980423,0.1985034154774425,0.027792091685484237
150k_3mm,poca,u_pb_concrete,5,0.9465902144092564,0.004876279325936194,2.3838476290978847,0.258620091748658
150k_3mm,poca,u_pb_soil,5,0.9502458325878214,0.003826352890587991,2.1768808206169354,0.46878435990399664
150k_3mm,poca,u_void_concrete,5,0.6628511361603149,0.009545473557692627,0.38329824518028743,0.02782442290430456
150k_3mm,poca,u_void_soil,5,0.647987117552335,0.011428916137677683,0.315758487459873,0.06770626881835105
50k_1mm,asr_q75,u_explosive_concrete,5,0.5799252421332064,0.02619607824076728,0.179599154994607,0.06143045531730625
50k_1mm,asr_q75,u_explosive_soil,5,0.4949530788512654,0.023478242108357663,-0.012432189467355782,0.06086043331605562
50k_1mm,asr_q75,u_pb_concrete,5,0.9976365705736058,0.0003557188629070262,4.426529042011209,0.10575224710970657
50k_1mm,asr_q75,u_pb_soil,5,0.9990319059858231,0.0002237044979982372,4.870177422377855,0.15267085360020127
50k_1mm,asr_q75,u_void_concrete,5,0.7447319380607162,0.022618107113952672,0.6103156210599214,0.0822093553381516
50k_1mm,asr_q75,u_void_soil,5,0.7260180238512552,0.03175655164643303,0.5591046323641571,0.0738558306620648
50k_1mm,mlsd_median,u_explosive_concrete,5,0.6961034487877777,0.02583346421295423,0.49981608624055884,0.03347470443538875
50k_1mm,mlsd_median,u_explosive_soil,5,0.6560575429337271,0.011321360527404008,0.3994131040611516,0.04297167677712247
50k_1mm,mlsd_median,u_pb_concrete,5,0.988759221199205,0.001909447646250954,3.903213991112298,0.07477760776341949
50k_1mm,mlsd_median,u_pb_soil,5,0.9934085307826693,0.0017493215831999242,4.604725302683949,0.1598455289775108
50k_1mm,mlsd_median,u_void_concrete,5,0.820799813906047,0.015994701330336397,0.766808069103879,0.02880866881382847
50k_1mm,mlsd_median,u_void_soil,5,0.7824885641223103,0.01738756455633835,0.6369272218891806,0.05652113360649011
50k_1mm,namt_3p,u_explosive_concrete,5,0.8222412553027227,0.04563815971309596,1.3995964184287033,0.2604361004985648
50k_1mm,namt_3p,u_explosive_soil,5,0.766015647039685,0.04112645925512458,0.9919762944022112,0.20290217000450833
50k_1mm,namt_3p,u_pb_concrete,5,0.999231814002324,0.0005277786186682794,7.9115786567664586,0.6447102791982439
